Tiempo,Posición,Temperatura
1695913200,-7.511833333333333,32.8305
1695916800,-7.508666666666667,32.851000000000006
1695920400,-7.5145,32.84316666666667
1695924000,-7.5135,32.83583333333333
1695927600,-7.509833333333333,32.8305
1695931200,-7.5115,32.818666666666665
1695934800,-7.509166666666667,32.82066666666667
1695938400,-7.5095,32.81283333333333
1695942000,-7.507333333333333,32.81316666666667
1695945600,-7.504499999999999,32.810500000000005
1695949200,-7.506666666666666,32.80616666666666
1695952800,-7.5040000000000004,32.81033333333333
1695956400,-7.507833333333333,32.80466666666667
1695960000,-7.508,32.80766666666667
1695963600,-7.503,32.79683333333333
1695967200,-7.504666666666666,32.7945
1695970800,-7.509833333333333,32.787333333333336
1695974400,-7.507333333333333,32.78766666666667
1695978000,-7.506,32.8075
1695981600,-7.506,32.8295
1695985200,-7.506666666666666,32.8415
1695988800,-7.502833333333333,32.83133333333333
1695992400,-7.506166666666667,32.821
1695996000,-7.502666666666667,32.817
1695999600,-7.503,32.80883333333333
1696003200,-7.505333333333334,32.79933333333334
1696006800,-7.5035,32.739
1696010400,-7.5024999999999995,32.70666666666666
1696014000,-7.503166666666667,32.696666666666665
1696017600,-7.503666666666667,32.689
1696021200,-7.5,32.688
1696024800,-7.5056666666666665,32.69283333333333
1696028400,-7.503,32.68416666666666
1696032000,-7.509833333333333,32.695
1696035600,-7.509333333333333,32.70633333333333
1696039200,-7.506833333333334,32.6955
1696042800,-7.515666666666666,32.705333333333336
1696046400,-7.507000000000001,32.71183333333333
1696050000,-7.5071666666666665,32.7105
1696053600,-7.5024999999999995,32.714166666666664
1696057200,-7.505333333333334,32.729
1696060800,-7.506,32.73025
1696064400,-7.502833333333333,32.783166666666666
1696068000,-7.50475,32.83441666666667
1696071600,-7.513,32.82966666666667
1696075200,-7.511333333333334,32.8245
1696078800,-7.510833333333333,32.81583333333334
1696082400,-7.509833333333333,32.80166666666666
1696086000,-7.506333333333333,32.805
1696089600,-7.506166666666667,32.7975
1696093200,-7.513333333333334,32.763
1696096800,-7.505833333333333,32.74283333333333
1696100400,-7.503166666666667,32.734833333333334
1696104000,-7.508333333333334,32.75266666666667
1696107600,-7.511,32.75033333333333
1696111200,-7.508166666666667,32.7625
1696114800,-7.509166666666667,32.77283333333334
1696118400,-7.50725,32.783249999999995
1696122000,-7.504666666666666,32.81008333333333
1696125600,-7.507499999999999,32.83083333333334
1696129200,-7.513166666666666,32.84366666666667
1696132800,-7.5125,32.8465
1696136400,-7.508666666666667,32.870666666666665
1696140000,-7.508,32.888999999999996
1696143600,-7.505333333333334,32.911833333333334
1696147200,-7.5056666666666665,32.929833333333335
1696150800,-7.506,32.9715
1696154400,-7.499,33.0415
1696158000,-7.504166666666666,33.06016666666667
1696161600,-7.506166666666667,33.0815
1696165200,-7.497833333333333,33.07066666666667
1696168800,-7.504166666666666,33.07816666666667
1696172400,-7.503333333333333,33.082
1696176000,-7.505,33.075
1696179600,-7.507499999999999,33.04333333333333
1696183200,-7.50575,33.03691666666666
1696186800,-7.501833333333334,33.04
1696190400,-7.500166666666667,33.04333333333333
1696194000,-7.5040000000000004,33.04816666666667
1696197600,-7.5040000000000004,33.05983333333333
1696201200,-7.504666666666666,33.0745
1696204800,-7.508166666666667,33.08116666666667
1696208400,-7.503666666666666,33.087666666666664
1696212000,-7.5065,33.10016666666667
1696215600,-7.504666666666666,33.11783333333333
1696219200,-7.504166666666666,33.13366666666666
1696222800,-7.504166666666666,33.13733333333333
1696226400,-7.507499999999999,33.152166666666666
1696230000,-7.509,33.165
1696233600,-7.506833333333334,33.1865
1696237200,-7.505583333333333,33.23558333333333
1696240800,-7.5,33.272166666666664
1696244400,-7.501916666666667,33.29233333333333
1696248000,-7.499,33.28483333333333
1696251600,-7.5035,33.283
1696255200,-7.498833333333334,33.291000000000004
1696258800,-7.503166666666667,33.284666666666666
1696262400,-7.503166666666667,33.27316666666667
1696266000,-7.509,33.24666666666666
1696269600,-7.507000000000001,33.242
1696273200,-7.507333333333333,33.23283333333333
1696276800,-7.505333333333334,33.23616666666667
1696280400,-7.505333333333334,33.227833333333336
1696284000,-7.5065,33.2225
1696287600,-7.510666666666666,33.229
1696291200,-7.509,33.24583333333333
1696294800,-7.5023333333333335,33.246833333333335
1696298400,-7.505,33.26233333333333
1696302000,-7.506,33.268166666666666
1696305600,-7.507000000000001,33.273833333333336
1696309200,-7.505833333333333,33.286
1696312800,-7.5056666666666665,33.3005
1696316400,-7.504666666666666,33.301
1696320000,-7.499916666666667,33.30741666666667
1696323600,-7.497,33.342083333333335
1696327200,-7.502583333333333,33.37233333333333
1696330800,-7.495333333333334,33.374
1696334400,-7.499083333333333,33.35666666666667
1696338000,-7.504166666666666,33.3155
1696341600,-7.506,33.30005555555555
1696345200,-7.506333333333333,33.28277777777778
1696348800,-7.492707692307692,33.257711538461535
1696352400,-7.487205530832804,33.217421381648656
1696356000,-7.53095041322314,33.217314049586776
1696359600,-7.5160669191919185,33.31016414141414
1696363200,-7.502152777777778,33.24362446581197
1696366800,-7.5,33.238605769230766
1696370400,-7.5014,33.22507532051282
1696374000,-7.513933333333333,33.19883333333333
1696377600,-7.5015833333333335,33.2075
1696381200,-7.5032499999999995,33.17308333333333
1696384800,-7.507333333333333,33.191583333333334
1696388400,-7.511666666666667,33.169333333333334
1696392000,-7.508416666666666,33.147166666666664
1696395600,-7.503,33.159166666666664
1696399200,-7.5034230769230765,33.16733333333333
1696402800,-7.506368589743589,33.146375
1696406400,-7.508208333333333,33.106874999999995
1696410000,-7.509833333333333,33.105916666666666
1696413600,-7.499416666666666,33.11425
1696417200,-7.502666666666667,33.0975
1696420800,-7.492333333333333,33.04725
1696424400,-7.489833333333333,33.08408333333333
1696428000,-7.501416666666667,33.07891666666667
1696431600,-7.495416666666667,33.09408333333333
1696435200,-7.5071666666666665,33.06966666666667
1696438800,-7.522,33.0375
1696442400,-7.501535087719299,33.02
